,info_gain,split_info,gain_ratio
Credit_History,0.18258708938827894,0.574882170532852,0.3176078486119007
Loan_Amount_Term,0.0037939446133223864,0.15472945118125953,0.024519860856211065
Property_Area,0.018150565548465503,1.5781170586403752,0.011501406343141047
Education,0.005188508599588859,0.7710959305427203,0.006728745923917705
LoanAmount,0.0078110868447258675,1.9956042657951603,0.003914146195520129
LoanAmount_log,0.0078110868447258675,1.9956042657951603,0.003914146195520129
Married,0.002982481961451011,0.9287770565020403,0.0032111925467707323
IncomeToLoanRatio,0.0042669607106815555,1.9999910113499577,0.002133489943938015
CoapplicantIncome,0.0030236587645012802,1.4989726814125002,0.0020171540162106554
Dependents,0.0027900528092577037,1.6186314121735725,0.0017237110241862246
ApplicantIncome,0.0024188988946136636,1.9999910113499577,0.0012094548829901745
Self_Employed,0.00019984637678027717,0.5694354259954937,0.0003509552930095689
Gender,0.0001590486077960307,0.6738897577526133,0.00023601576662397926
TotalIncome,0.00044908122909048664,1.9999910113499577,0.00022454162370828104
TotalIncome_log,0.00044908122909048664,1.9999910113499577,0.00022454162370828104
